,0
VPerSw5_iflag,0
DVERvrecGrossAnnualw5,0
VOTypw5_iflag,0
MYIfCh3W5,0
DVEqSRbW5,0
RentSpecifyW5,0
MEndVb3W5,0
eintw5_iflag,0
mendv3w5_iflag,0
MAllty3W5,0
MAllTy3w5_i,0
MAllTy3w5_iflag,0
mendw3w5_iflag,0
mendvb11w5_iflag,0
MEndVb11W5,0
mendnum2w5_iflag,0
mendnum3w5_iflag,0
mendvb8w5_iflag,0
mendvb7w5_iflag,0
mendvb6w5_iflag,0
EMSArrW5,0
mendv4w5_iflag,0
mendvb5w5_iflag,0
mendv5w5_iflag,0
MEndVb5W5,0
MEndv7W5,0
mendvb4w5_iflag,0
MEndv8W5,0
MEndVb4W5,0
mendvb3w5_iflag,0
mendv11w5_iflag,0
MAllTy2w5_iflag,0
HValuew5_iflag,0
HSharePw5_iflag,0
ErvTaxw5_iflag,0
EOthRVBW5,0
eqdraww5_iflag,0
eqtype2w5_iflag,0
EqType3W5,0
EqType4W5,0
EqType5W5,0
EqType6W5,0
EqType7W5,0
EqType8W5,0
EqType9W5,0
eqvalbw5_iflag,0
ERecMBYW5,0
erecmbyw5_iflag,0
erecmpdw5_iflag,0
erecw5_iflag,0
ervprpw5_iflag,0
ERvRecBYW5,0
ErvRecbyw5_i,0
ErvRecbyw5_iflag,0
ErvRecPdw5_iflag,0
ervreg1w5_iflag,0
ervreg2w5_iflag,0
